Name,Country,Date,Content
ChrisThomasTravels,"Ossining, NY",Dec 2019,"Initially the black sands of Canggu Beach are quite novel. As this spot has become THE place to be in Bali, crowds have blemished what once might have been pristine and serene. Plenty of waves to surf and hip bars to visit - the beach seems to be perennially packed these days."
Cherie H,"Roumazieres-Loubert, France",Dec 2019,"Unfortunately this gorgeou beach was covered in rubbish. The little food and drink places along the edge of the walkway were friendly and if looking for basic food , nice views and cold drinks its a great spot. The laid back atmosphere and lovely locals makes is favourite spot though when visiting Bali. We stay here for 1/2 of our Bali trip. "
Anastasia B,6 contributions,Jul 2019,"Canggu Beach was wonderful and exactly what I wanted for my vacation. I spent three weeks at an Air Bnb that was in walking distance. My criteria: good surfing waves and yoga. The waves: LOVED them. They came in reliably in perfect sets. Wave after wave after wave, and it's a beach break so you don't have to worry about getting killed on the reef. They are long, firm waves, perfect for long boarding. There are enough waves for everyone, and the locals are very nice, friendly, and laid-back. You can rent boards on the beach, or bring your own. The Yoga: There are several yoga studios close by, but I preferred to do my own ashtanga practice before or after surfing, at my air bnb or on the beach.The Beach: Beautiful with deep blue water and a lovely sky. There are stray dogs which will break your heart, but they are not dangerous."
Therese Herlihy,"Dublin, Ireland",Dec 2019,We knew this was not a white sandy beach but the beach itself had lots of rubbish on it and was so noisy from lots of drunk people in the various bars dotted along the front. Much nicer beaches elsewhere in Bali.
Mark Jones,"Lake Macquarie, Australia",Sep 2019,"Always find you will get a wave at Canggu (and surrounds) without as much hassle as the more renowned breaks on the other side of the penninsula...you all know the breaks, but you also know how its not as much fun anymore. (MJ)"
Mansi Reddy,"Chennai (Madras), India",Oct 2019,"After visiting Seminyak in Bali you can definitely see a contrast in Canggu. This is a new and developing neighbourhood with lots of restaurants, bars and cafes. I can see why the younger crowd gravitate here for budget conscious options. Black sand beach with plenty of choice for beachside activities."
Clo,"Sydney, Australia",Dec 2019,"Certain areas are not that tastefullStick to the private beaches as best you can.Feet were black walking from place to place,  Some parts were fab, but just know where to go"
Gavin,"Kuala Lumpur, Malaysia",Dec 2019,"a great sunset from here, very wide beach front, watch out for the strong currents from here, can be quite rough at times"
Kaye,"Long Beach, CA",Dec 2019,"If you want a super Western style beach, this is your place. Being from California, I was expecting a very special type of place after hearing that Canggu was voted one of the best beaches in the world, but it was EXACTLY like a California beach. All of the restaurants were catered towards Western cuisine, the most unauthentic part of Bali I'd seen in the whole 3 weeks my boyfriend and I were there."
Jenny,"Canberra, Australia",Oct 2019,You don't go to Bali for the beaches! Not compared to Australia. its peaceful and nice in the mornings and lots of street dogs hang out and will say hello. Good for surfing but not swimming. 
SingaporeBms,"Singapore, Singapore",Dec 2019,Wide open beach with very good surf conditions throughout the day.  Ample food and drink restaurants available along the beach.  
Екатерина Паршутина,9 contributions,Dec 2019,"Good just for surfing. Not clean and relaxing. You can take a surf in the rentals points, with all equipment "
Triana L,Los Angeles,Dec 2019,"If you’re looking for the idyllic, white sand beach and turquoise blue waters in a tranquil setting, this isn’t it. If you’re looking for great surfing, look no further. This beach offers lots of beach club options, vendors, seating areas and service for drinks. There are big crowds on the sand and in the water, likely for the perfect waves and party atmosphere."
zakwebb47,"London, UK",Nov 2019,"The beach is very nice, and absolutely stunning to watch sunsets from (highly recommend!). It is great for surfers as it has fairly big waves (probably a good size for new surfers), but for swimming it's not so good, but overall it's good and I would give it 4/5. "
jlct67,27 contributions,Jul 2019,"Canggu was one of favorite places in the whole world! I had read tons and tons of forums trying to figured out which beach town  I wanted to go to and finally decided on Canggu.  I could not imagine going anywhere else now!! It was the perfect place if you're a young professional looking for a bit of night life without the party scene.  Everywhere felt new, clean, and the perfect mix of boho/Balinese culture.  We stayed in an Air BnB right off the main drive but in a fairly quiet space and it was PERFECT.  Walking distance to the beach, Love Anchor, Crate Cafe, and any restaurant or happy hour you could desire.  We moved locations half way through our trip to another city and actually took a taxi back to Canggu on our last day because we just couldn't get enough! This magical little space full of beautiful shops, beaches, happy hours, scooters, and the most magical humans is one for the books.  Grab a cheap beer at Echo Beach Club, a bucket of fries, and watch the sunset to end each day.  It doesn't get better!"
Colmich,"Warners Bay, Australia",Oct 2019,Not sure what the attraction is with this beach as there are so many better beaches to go to and I wouldn't go back 
HolidayDaydreamer,"Sydney, Australia",Oct 2019,"I hung around the pool at my hotel as the beach was really average; beach clubs pumping conflicting and annoying music, packs of dogs defecating near the lounge chairs. To be avoided, in my opinion."
Nanamousaka,"Trowbridge, UK",Nov 2019,I will never stop wanting to come back. Incredible for surfing. We went in October and quite strong swimmers but there were many days where the red flags were out for swimmers. The rip tide is so strong. Not safe to swim for weak swimmers or children. Observe the flags and signs first. 
SkiMom33,"Bellingham, Washington",Nov 2019,I loved hanging out here. It is absolutely stunning.  Did some surf lessons and had a great time in general. Amazing Sunsets!!
Linda M,31 contributions,Aug 2019,Fabuloud beach. With lots of food and drink options...comfortable seating is available everywhere and the service is impeccable...wonderful surfing
Monica S,"Joinville, SC",Nov 2019,One more hot surfing spot. Good waves and of course a little bit crowded. Better than spend time in the sand is take time in some of the restaurants and cafes much cool and good view 😊
Popi D,"Melbourne, Australia",Dec 2018,"Black sands where you can walk for miles into the horizon. Great for long walks and surfing, but I don't think I would swim in it though. The views from above in the beautiful cafe's and restaurants are divine! Also there is a big wall all the way around with the local Graffiti art, well worth the photo's, there are some very talented people out there. Well worth it to see it at least once."
Donal M,"Cork, Ireland",Oct 2019,"Good service from the lounge rental/surf board rental/ bars at the back. Nice laid back staffNot the nicest sand. Looked good for surfing, but that's not what I was there for. Be careful of urchins here because there are several Rocky patches as you walk out into the water that they inhabit. Not suitable for snorkelling, average for swimming. Grand for sitting and having a drink. Beautiful for sunset"
Jay Richters,7 contributions,Oct 2019,Echo beach club has great seafood and is right on the beach! The lobster is to die for! I will be dining there again next time I go there as it is such good food and great value. Cocktails are also great.
Prof. Andrew John y Fernandes,"Valenzuela, Philippines",Oct 2019,The “new” Seminyak Beach already looks older as it is dirty with rubbish and teeming with unmonitored activity. Mediocre surfing beach
Panji Hagarayu,"Canggu, Indonesia",Sep 2019,"There is no doubt, Bali has many beautiful beaches. One of them is Canggu. Nice to visit here. The waves are also very suitable for surfers."
Iliakylie,Singapore,Oct 2019,This is a must go if you come to Canggu!! Especially if you are a surfer or looking to learn surfing! The waves here are cray and super pretty!
Loulou48,13 contributions,Sep 2019,Great surf spot if you are learning.No hawkers on the beach and a good beach to do a walk..quiet busy 
Minzzz,"Singapore, Singapore",Oct 2019,The up and coming destination with niche cafes and retail outlet but more laid back than the overly crowded Seminyak with a black beach to lure the beach goer! With good assortment of good class hotel accommodations and villas! 
adriana m,"Rio de Janeiro, RJ",Jul 2019,We arrived there around 5pm and strolled along the dark sand just enjoying seeing the crowd in the bars along the beach. Many bars set lounges on the beach for customers to relax and enjoy the sunset
James D,128 contributions,Oct 2019,"Quite enjoyed the quieter parts away from the main bars. Surfs cool. Too many people getting caught in rips. Lifeguards just wait for surfers to go pick them up. A Russian group daily doing a fake shark attack taking a bottle of red dye into the water and releasing it flailing etc. Whilst friends film it, including a drone. Apparently this is funny in Russia. They were told frequently that it wasn’t. Quite horrifying the first time I saw it. Go for a walk north if you want some peace. You’ll not find much in regards to bars. But that’s not a bad thing. Having stayed in Seminyak and Canggu 2 years ago. I’d go to the quieter areas north of Seminyak but south of Canggu for a more relaxed cool vibe "
allicat527,"Watauga, TX",Sep 2019,"This beach looked great for surfing! We were only there for a short time, so we didn't get a chance to experience it 1st hand, but there were plenty of good waves and a lot of locals surfing."
dogmakes3,"New York City, NY",Aug 2019,"It’s clear that this was once a beautiful place to visit as Bali culture is beautiful but unfortunately it’s been overrun with Starbucks, drunk tourists, and westerners with no respect.  The locals are still friendly but if you travel all the way to Bali but need to have everything convenience of western life, do everyone a favor and stay home. "
Louise P,"Cabarita Beach, Australia",Sep 2019,After having stayed in Seminyak for most of our 10 Day stay in Bali you can definitely see a contrast in Canggu. Firstly the streets aren’t as ‘clean’ as Seminyak as far as Bali standards go. I can see why the younger crowd gravitate here for budget conscious options. Black sand beach with plenty of choice for beachside activities.Great surf. Can sit on the beach for sunset and drink Bintang 👍🏼😎
Murray H,409 contributions,Sep 2019,"Lots of lounge chairs to hire with shade, or plenty of space on the black beach sand. Big car park small fee on left side end of street. Plenty of small shops for food, drinks, bathers, sunglasses if needed. Lots of surf schools if you're a beginner, everybody very helpful, friendly locals."
Granules2013,"Darwin, Australia",Sep 2019,Came to the beach of an evening with friends to have a few drinks and watch the sunset. Pretty popular spot with loads of people with the same idea. There’s heaps of places to find a spot and get a drink thought so it wasn’t too overcrowded.
Erin F,"Wanaka, New Zealand",Apr 2019,Really cool place and vibe. Lots of fun places to sit and eat. Lots of places to lounge in the sun and a good surf beach too.
Nadja M,"Molnlycke, Sweden",Sep 2019,A beautiful beach with a great vibe. However the sand is quite dark and rough (just so you know what to expect) and there are rocks in the water so not the best beach for beginner surfers. 
Barry Sloan,"Perth, Australia",Sep 2019,"The beaches on the other side of the island are much better. The black sand is not very appealing. However it is a good beach if you want to learn how to surf. Plenty of surfboards available to rent, big car park so easy access "
Yas,"Dubai, United Arab Emirates",Sep 2019,"Almost impossible to swim here, high waves and black sand. Wasn’t tempting at all unfortunately. We ended up going to a beach club. "
Tracy D,"Gordon, Australia",Sep 2019,"The surf was so huge & messy most of the time, swimmers would just try to get wet & get out, so they didn't get pulled under by the rips.You have to be fit to surf- the waves can be strong & dumpy. More for short boards than Malibus.It was very enjoyable to sit up in the little surf shacks with a drink & watch the local surf competition - they knew what they were doing!"
Karen P,"Birmingham, UK",Jun 2019,We stayed outside Canggu so only came to the beach a couple of times.  Very large and super busy but excellent for surfing and large area of sand and good access into the sea.  We hired two loungers and a brolly.Good way to pass half a day chilling
INK,"Bali, Indonesia",Aug 2019,"If you want to enjoy the sunset and get nice picts surrounding with the rocks, try to choose a day with super low tide and you've got AMAZING view!"
Sebastien B,"Dubai, United Arab Emirates",Aug 2019,"If you are surfing, then Canggu Beach is one of the spots you have to go to. Otherwise, it has no specific interest. The beach can get a bit dirty. One of the issues being the dogs that are wandering and using the beach as their toilets,"
